x,y,libelle_po
-1.771798869,48.6027427,Le Vivier-sur-Mer
-2.001990119,48.48369993,Saint-Samson sur Rance
-4.341204252,48.09709591,Douarnenez
-4.661115948,48.06804111,Brézellec
-4.852944548,48.03825274,Sein
-4.717300195,48.03480417,Bestrée
-4.695785563,48.02970904,Feunteun Aod
-4.626999095,48.0260342,Le Loch
-4.538494265,48.0208615,Audierne
-4.463672382,47.98707804,Pors Poulhan
-4.399335073,47.94003651,Penhors
-4.37439074,47.81670007,Saint-Guénolé Penmarc'h
-2.188468859,48.59023516,Le Châtelet
-4.280506329,47.79517123,Le Guilvinec
-4.21558866,47.80186405,Lesconil
-4.174634322,47.83418051,Loctudy Île Tudy
-4.211108075,47.86511779,Pont-l'Abbé
-4.122517413,47.87612688,Sainte-Marine
-4.109338655,47.97166851,Quimper
-4.113264976,47.88098343,Penfoul
-4.040846739,47.84669267,Mousterlin
-3.982910191,47.85914748,Beg Meil
-3.997848617,47.72411693,Saint-Nicolas de Glénan
-2.185771116,48.60403747,La Houle Causseul
-3.984791427,47.8892782,Cap Coz
-3.972323949,47.9007051,Port-la-Forêt
-3.913235113,47.87303678,Concarneau
-3.851220512,47.79476434,Trévignon
-3.740129747,47.80002653,Port Manech
-3.747005527,47.81975023,Kerdruc-Rosbras
-3.74620414,47.85214035,Pont-Aven
-3.703560957,47.81116358,Belon
-3.671798519,47.78133559,Brigneau
-3.643471583,47.78235182,Merrien
-2.209545622,48.57149771,Le Guildo
-3.606302865,47.77157469,Doëlan
-3.544504488,47.76602792,Le Pouldu
-3.544268659,47.87392774,Quimperlé
-3.526454621,47.7720558,Le Bas Pouldu
-3.470782543,47.71164371,Le Couregant
-3.457624231,47.7041079,Kerroch
-3.441999649,47.69992802,Le Pérello
-3.427190244,47.70512717,Lomener
-3.377088361,47.71002204,Port Maria
-3.361836779,47.73052359,Lorient
-2.255089844,48.63815704,Saint-Cast Le Guildo
-3.27792894,47.80165066,Hennebont
-3.344656326,47.73353117,Pen Mané
-3.345207248,47.72315054,Sainte-Catherine
-3.356397454,47.70977595,Le Driasker
-3.352125278,47.70388913,Cale du Lohic
-3.346030205,47.70770797,Locmalo
-3.349207882,47.69750013,Ban-Gâvres
-3.355368883,47.69050754,Porh-Guerh
-3.458912104,47.6446719,Port Lay
-3.447823763,47.64222639,Port-Tudy
-2.465173453,48.63144117,Erquy
-3.435093419,47.62857949,Locmaria
-3.21414139,47.66078177,Le Magouer
-3.210319691,47.67240376,Le Vieux Passage
-3.185482553,47.68338595,Saint-Cado
-3.193508705,47.67765271,Pont Lorois
-3.200021365,47.67089351,Porh Niscop
-3.204903603,47.65853159,Etel
-3.143915219,47.52980795,Portivy
-3.12911368,47.51914846,Port d'Orange
-3.126795817,47.4793891,Port Maria
-2.474092197,48.63699777,Les Hôpitaux
-3.106498814,47.48733025,Port Haliguen
-3.220649895,47.37245456,Sauzon
-3.154009602,47.34659015,Le Palais
-3.10144645,47.58157531,Cale du Pô
-3.063077054,47.57324277,Port en Dro
-3.028735998,47.589159,La Trinité-sur-Mer
-3.024308085,47.59485486,Cale de Kerisper
-2.959171989,47.39125783,Saint-Gildas
-2.940169311,47.56569429,Cale du Guilvin
-2.963102034,47.58385148,Cale du Bourg
-2.54978588,48.59387084,Piégu
-2.980060494,47.66261504,Saint-Goustan
-2.955644599,47.63751411,Le Bono
-2.904123475,47.59022959,Port Lagaden
-2.891790443,47.58600921,Cale de Pen Lannic
-2.869327454,47.60789095,Port Blanc
-2.848174593,47.59731746,Le Port
-2.83025308,47.61527666,Arradon
-2.781711037,47.63301185,Cale de Conleau
-2.758420504,47.65260665,Vannes
-2.777472284,47.62226248,Port Anna
-2.568125222,48.57799815,Dahouët
-2.752095201,47.61011538,Cale de Badel
-2.767694058,47.61611426,Cale de Langle
-2.769688268,47.62197464,Cale de Barrarach
-2.794150108,47.60410029,Cale de Béluré
-2.71533075,47.58886226,Cale du Passage
-2.845326303,47.54386829,Le Logéo
-2.795290888,47.48595139,Saint-Jacques
-2.879902592,47.55774412,Cale de Kerners
-2.912483373,47.54759301,Port Navalo
-2.892617623,47.54148239,Le Crouesty
-2.726782452,48.52786375,Le Légué
-2.847495966,47.50008293,Port aux Moines
-2.877529785,47.33276716,Port d'Argol
-2.876172865,47.34230469,Port Lacroix
-2.624697186,47.52291212,Cale de Pencadénic
-2.623061982,47.51443924,Pénerf
-2.501484639,47.51624553,Penlan
-2.376815597,47.50113218,Arzal-Camoël
-2.306536437,47.51889746,La Roche-Bernard
-2.282103433,47.5776569,Foleux
-2.390668721,47.49861419,Vieille Roche
-1.852402296,48.67157883,Cancale
-2.823058834,48.60222005,Binic
-2.44192092,47.49249691,Tréhiguier
-2.100271512,47.59810722,Rieux
-2.128111711,47.57916904,Cran
-3.322012564,47.70641334,Cale des Salles
-2.854881451,47.58546646,Cale du Goret
-2.832528891,47.59066865,Cale de Brouhel
-2.854059263,47.57298737,Cale du Guip
-2.856139504,47.566878,Cale de Penhap
-2.83958791,47.60090625,Cale du Trech
-2.800716522,47.58738845,Cale de Pénéra
-2.827030005,48.64877875,Saint-Quay Portrieux
