"shapeid","gml_id","por_id","libelle_po","insee_comm","por_x","por_y"
0,"port.1","1","Le Vivier-sur-Mer","35361","297025.0","2408370.0"
1,"port.10","10","Saint-Samson sur Rance","22327","279335.0","2396060.0"
2,"port.100","100","Douarnenez","29046","103135.0","2365330.0"
3,"port.101","101","Brézellec","29028","79105.4","2364190.0"
4,"port.102","102","Sein","29083","64562.5","2362180.0"
5,"port.103","103","Bestrée","29168","74602.9","2360880.0"
6,"port.104","104","Feunteun Aod","29168","76150.5","2360170.0"
7,"port.105","105","Le Loch","29228","81224.9","2359310.0"
8,"port.106","106","Audierne","29003","87751.3","2358150.0"
9,"port.107","107","Pors Poulhan","29197","92987.6","2353920.0"
10,"port.108","108","Penhors","29225","97324.9","2348300.0"
11,"port.109","109","Saint-Guénolé Penmarc'h","29158","98012.2","2334480.0"
12,"port.11","11","Le Châtelet","22302","266249.0","2408670.0"
13,"port.110","110","Le Guilvinec","29072","104817.0","2331500.0"
14,"port.111","111","Lesconil","29165","109726.0","2331830.0"
15,"port.112","112","Loctudy Île Tudy","29135","113081.0","2335160.0"
16,"port.113","113","Pont-l'Abbé","29220","110646.0","2338810.0"
17,"port.114","114","Sainte-Marine","29037","117352.0","2339480.0"
18,"port.115","115","Quimper","29232","119205.0","2349990.0"
19,"port.116","116","Penfoul","29006","118086.0","2339960.0"
20,"port.117","117","Mousterlin","29058","123176.0","2335720.0"
21,"port.118","118","Beg Meil","29058","127610.0","2336750.0"
22,"port.119","119","Saint-Nicolas de Glénan","29058","125287.0","2321880.0"
23,"port.12","12","La Houle Causseul","22302","266536.0","2410190.0"
24,"port.120","120","Cap Coz","29058","127739.0","2340100.0"
25,"port.121","121","Port-la-Forêt","29057","128770.0","2341300.0"
26,"port.122","122","Concarneau","29039","132930.0","2337880.0"
27,"port.123","123","Trévignon","29293","136870.0","2328830.0"
28,"port.124","124","Port Manech","29153","145214.0","2328770.0"
29,"port.125","125","Kerdruc-Rosbras","29153","144870.0","2330990.0"
30,"port.126","126","Pont-Aven","29217","145208.0","2334580.0"
31,"port.127","127","Belon","29150","148040.0","2329790.0"
32,"port.128","128","Brigneau","29150","150159.0","2326300.0"
33,"port.129","129","Merrien","29150","152284.0","2326250.0"
34,"port.13","13","Le Guildo","22049","264576.0","2406680.0"
35,"port.130","130","Doëlan","29031","154971.0","2324850.0"
36,"port.131","131","Le Pouldu","29031","159544.0","2323880.0"
37,"port.132","132","Quimperlé","29233","160459.0","2335850.0"
38,"port.133","133","Le Bas Pouldu","56078","160944.0","2324450.0"
39,"port.134","134","Le Couregant","56162","164609.0","2317440.0"
40,"port.135","135","Kerroch","56162","165532.0","2316530.0"
41,"port.136","136","Le Pérello","56162","166668.0","2315980.0"
42,"port.137","137","Lomener","56162","167819.0","2316480.0"
43,"port.138","138","Port Maria","56107","171609.0","2316750.0"
44,"port.139","139","Lorient","56121","172915.0","2318940.0"
45,"port.14","14","Saint-Cast Le Guildo","22282","261652.0","2414280.0"
46,"port.140","140","Hennebont","56083","179758.0","2326370.0"
47,"port.141","141","Pen Mané","56118","174225.0","2319180.0"
48,"port.142","142","Sainte-Catherine","56118","174100.0","2318030.0"
49,"port.143","143","Le Driasker","56181","173155.0","2316610.0"
50,"port.144","144","Cale du Lohic","56181","173428.0","2315930.0"
51,"port.145","145","Locmalo","56181","173915.0","2316320.0"
52,"port.146","146","Ban-Gâvres","56062","173595.0","2315210.0"
53,"port.147","147","Porh-Guerh","56062","173077.0","2314470.0"
54,"port.148","148","Port Lay","56069","164949.0","2309950.0"
55,"port.149","149","Port-Tudy","56069","165760.0","2309620.0"
56,"port.15","15","Erquy","22054","246144.0","2414460.0"
57,"port.150","150","Locmaria","56069","166603.0","2308030.0"
58,"port.151","151","Le Magouer","56169","183419.0","2310410.0"
59,"port.152","152","Le Vieux Passage","56169","183797.0","2311680.0"
60,"port.153","153","Saint-Cado","56013","185743.0","2312770.0"
61,"port.154","154","Pont Lorois","56013","185097.0","2312170.0"
62,"port.155","155","Porh Niscop","56013","184556.0","2311460.0"
63,"port.156","156","Etel","56055","184094.0","2310110.0"
64,"port.157","157","Portivy","56234","187667.0","2295510.0"
65,"port.158","158","Port d'Orange","56234","188696.0","2294260.0"
66,"port.159","159","Port Maria","56186","188564.0","2289830.0"
67,"port.16","16","Les Hôpitaux","22054","245526.0","2415120.0"
68,"port.160","160","Port Haliguen","56186","190151.0","2290610.0"
69,"port.161","161","Sauzon","56241","180667.0","2278470.0"
70,"port.162","162","Le Palais","56152","185487.0","2275250.0"
71,"port.163","163","Cale du Pô","56034","191255.0","2301030.0"
72,"port.164","164","Port en Dro","56034","194071.0","2299910.0"
73,"port.165","165","La Trinité-sur-Mer","56258","196769.0","2301500.0"
74,"port.166","166","Cale de Kerisper","56258","197145.0","2302110.0"
75,"port.167","167","Saint-Gildas","56086","200508.0","2279190.0"
